feature,p_value
 AU01_r,0.043690354162641706
 AU02_r,3.812330143281912e-64
 AU04_r,2.6510110443953613e-34
 AU05_r,3.456922671754806e-28
 AU06_r,1.0171015167834431e-09
 AU09_r,6.2074109095495315e-93
 AU10_r,4.7100075351267586e-94
 AU14_r,3.9717885372497156e-11
 AU15_r,2.52840795840923e-276
 AU20_r,4.941015303504909e-78
 AU23_r,5.779680927263838e-08
 AU25_r,2.0856200959145609e-41
 AU26_r,5.194640266444167e-45
 AU02_c,9.472192240997462e-27
 AU04_c,8.097960966837265e-15
 AU05_c,9.792639143257218e-217
 AU06_c,0.0036601059142152355
 AU09_c,1.7837413457688127e-43
 AU10_c,6.7061653512336835e-18
 AU14_c,6.477622951929504e-139
 AU15_c,3.4001230817255995e-20
 AU20_c,3.5786081472299354e-62
 AU23_c,3.362216189951574e-06
 AU25_c,1.2809241002388335e-23
 AU26_c,2.6705293942191536e-53
 AU28_c,5.393917660485664e-110
Loudness_sma3,4.397255359212691e-179
alphaRatio_sma3,2.754616964869083e-114
hammarbergIndex_sma3,3.113921970583379e-154
slope500-1500_sma3,8.880432936444107e-94
spectralFlux_sma3,9.076109180349202e-150
mfcc1_sma3,1.0834342755955075e-155
mfcc3_sma3,2.4908465968200244e-109
mfcc4_sma3,6.822540911688778e-12
F0semitoneFrom27.5Hz_sma3nz,1.2621460508796684e-168
jitterLocal_sma3nz,2.4292906482579863e-14
shimmerLocaldB_sma3nz,1.8484502131944684e-113
HNRdBACF_sma3nz,6.695019791153148e-69
logRelF0-H1-H2_sma3nz,2.4774407808905948e-08
logRelF0-H1-A3_sma3nz,2.5078617397279194e-118
F1frequency_sma3nz,2.908680965298346e-176
F1bandwidth_sma3nz,1.5948500403102416e-198
F1amplitudeLogRelF0_sma3nz,3.6441553763497356e-55
F2frequency_sma3nz,6.043883865316739e-212
F2bandwidth_sma3nz,3.2164862559394806e-177
F2amplitudeLogRelF0_sma3nz,9.397349767071348e-73
F3frequency_sma3nz,1.2459716668528291e-217
F3bandwidth_sma3nz,9.304820808719936e-167
F3amplitudeLogRelF0_sma3nz,3.517846070813384e-84
